code,date,open,high,low,close,volume,value,return
300,2018-01-10,4187.204,4211.055,4175.136,4207.813,1511216.66,19485025.39,0.442
905,2018-01-10,6443.461,6444.309,6361.095,6405.94,809669.74,9893830.44,-0.6176
852,2018-01-11,7121.461,7180.332,7093.728,7175.398,891705.57,10092415.76,0.5129
905,2018-01-11,6391.904,6432.44,6371.544,6425.94,787700.71,9156921.07,0.3122
300,2018-01-11,4197.114,4211.799,4181.957,4205.586,1215785.39,17040730.59,-0.0529
906,2018-01-11,4566.804,4585.1,4553.889,4579.931,2003486.11,26197651.66,0.0416
300,2018-01-12,4205.144,4227.392,4199.025,4225.001,1113547.94,15760621.06,0.4616
906,2018-01-12,4578.26,4595.59,4568.671,4590.675,1891893.51,24738326.83,0.2346
852,2018-01-12,7166.746,7174.841,7125.231,7127.828,928888.79,9681623.05,-0.663
905,2018-01-12,6418.827,6435.195,6387.782,6399.374,778345.58,8977705.76,-0.4134
905,2018-01-15,6391.366,6392.517,6236.563,6253.376,914740.32,11051292.13,-2.2814
300,2018-01-15,4229.836,4262.931,4216.359,4225.239,1709078.97,23498658.61,0.0056
906,2018-01-15,4593.093,4614.745,4553.756,4563.863,2623819.29,34549950.74,-0.5841
852,2018-01-15,7103.612,7103.701,6912.708,6929.307,1067513.86,11235755.79,-2.7852
300,2018-01-16,4215.625,4260.212,4213.128,4258.473,1614949.63,22827122.48,0.7866
906,2018-01-16,4554.589,4600.719,4553.335,4599.496,2406646.97,32463608.64,0.7808
905,2018-01-16,6245.153,6301.405,6245.113,6301.133,791697.34,9636486.17,0.7637
852,2018-01-16,6916.157,6960.726,6915.991,6960.677,868654.54,9305313.76,0.4527
905,2018-01-17,6288.017,6288.144,6202.315,6267.46,841955.03,9969446.19,-0.5344
300,2018-01-17,4261.783,4283.345,4230.537,4248.116,2143110.32,28455435.98,-0.2432
852,2018-01-17,6938.721,6948.323,6846.557,6942.863,904044.54,9628966.98,-0.2559
906,2018-01-17,4599.739,4611.729,4567.475,4584.916,2985065.35,38424882.17,-0.317
906,2018-01-18,4591.331,4624.08,4582.92,4607.283,2370481.38,30218650.24,0.4878
905,2018-01-18,6253.061,6295.777,6253.061,6286.801,650152.93,7689681.35,0.3086
